"border","range","column","plot","Block","Accession","Source","Mother","Father","Kernel.Count","type"
NA,"10","19","1017","2","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
NA,"10","20","1018","2","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
NA,"10","21","1019","5","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"10","22","1020","5","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"10","23","1021","5","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"10","24","1022","5","B37 x Oh43 pip1;5","","CMI23FGH-068.42","CMI23FGH-069.13","38k",NA
NA,"10","25","1023","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"10","26","1024","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"11","01","1101","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"11","02","1102","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"11","03","1103","3","B73 x H99","#0034858","B73","H99","40k",NA
NA,"11","04","1104","3","B73 x H99","#0034858","B73","H99","40k",NA
NA,"11","05","1105","3","B73 x H99","#0034858","B73","H99","40k",NA
NA,"11","06","1106","3","B73 x H99","#0034858","B73","H99","40k",NA
NA,"11","07","1107","4","P1151","","P1151","P1151","40k",NA
NA,"11","08","1108","4","P1151","","P1151","P1151","40k",NA
NA,"11","09","1109","4","P1151","","P1151","P1151","40k",NA
NA,"11","10","1110","4","P1151","","P1151","P1151","40k",NA
NA,"11","11","1111","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"11","12","1112","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"11","15","1113","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"11","16","1114","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"11","17","1115","2","B37 x Mo17 WT","","CMI23FGH-065.26","CMI23FGH-067.02","40k",NA
NA,"11","18","1116","2","B37 x Mo17 WT","","CMI23FGH-065.26","CMI23FGH-067.02","40k",NA
NA,"11","19","1117","2","B37 x Mo17 WT","","CMI23FGH-065.26","CMI23FGH-067.02","40k",NA
NA,"11","20","1118","2","B37 x Mo17 WT","","CMI23FGH-065.26","CMI23FGH-067.02","40k",NA
NA,"11","21","1119","5","B37 x Oh43 WT","","CMI23FGH-066.12","CMI23FGH-065.31","40k",NA
NA,"11","22","1120","5","B37 x Oh43 WT","","CMI23FGH-065.16","CMI23FGH-066.02","40k",NA
NA,"11","23","1121","5","B37 x Oh43 WT","","CMI23FGH-065.16","CMI23FGH-066.02","40k",NA
NA,"11","24","1122","5","B37 x Oh43 WT","","CMI23FGH-066.12","CMI23FGH-065.31","40k",NA
NA,"11","25","1123","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"11","26","1124","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"12","01","1201","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"12","02","1202","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"12","03","1203","3","P1151","","P1151","P1151","40k",NA
NA,"12","04","1204","3","P1151","","P1151","P1151","40k",NA
NA,"12","05","1205","3","P1151","","P1151","P1151","40k",NA
NA,"12","06","1206","3","P1151","","P1151","P1151","40k",NA
NA,"12","07","1207","4","B73 x H99 slac1","#0034870","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"12","08","1208","4","B73 x H99 slac1","#0034870","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"12","09","1209","4","B73 x H99 slac1","#0034870","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"12","10","1210","4","B73 x H99 slac1","#0034870","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"12","11","1211","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"12","12","1212","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"12","15","1213","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"12","16","1214","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"12","17","1215","2","B37 x Oh43 pip1;5","","CMI23FGH-068.42","CMI23FGH-069.13","40k",NA
NA,"12","18","1216","2","B37 x Oh43 pip1;5","","CMI23FGH-068.42","CMI23FGH-069.13","40k",NA
NA,"12","19","1217","2","B37 x Oh43 pip1;5","","CMI23FGH-068.42","CMI23FGH-069.13","40k",NA
NA,"12","20","1218","2","B37 x Oh43 pip1;5","","CMI23FGH-068.42","CMI23FGH-069.13","40k",NA
NA,"12","21","1219","5","B37 x Mo17 WT","","CMI23FGH-065.08","CMI23FGH-067.01","40k",NA
NA,"12","22","1220","5","B37 x Mo17 WT","","CMI23FGH-065.08","CMI23FGH-067.01","40k",NA
NA,"12","23","1221","5","B37 x Mo17 WT","","CMI23FGH-065.08","CMI23FGH-067.01","40k",NA
NA,"12","24","1222","5","B37 x Mo17 WT","","CMI23FGH-065.08","CMI23FGH-067.01","40k",NA
NA,"12","25","1223","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"12","26","1224","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"13","01","1301","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"13","02","1302","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"13","03","1303","3","P1197","","P1197","P1197","40K",NA
NA,"13","04","1304","3","P1197","","P1197","P1197","40K",NA
NA,"13","05","1305","3","P1197","","P1197","P1197","40K",NA
NA,"13","06","1306","3","P1197","","P1197","P1197","40K",NA
NA,"13","07","1307","4","B73 x H99","#0034858","B73","H99","40k",NA
NA,"13","08","1308","4","B73 x H99","#0034859","B73","H99","40k",NA
NA,"13","09","1309","4","B73 x H99","#0034859","B73","H99","40k",NA
NA,"13","10","1310","4","B73 x H99","#0034859","B73","H99","40k",NA
NA,"13","11","1311","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"13","12","1312","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"13","15","1313","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"13","16","1314","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"13","17","1315","2","B37 x Oh43 WT","","CMI23FGH-066.12","CMI23FGH-065.31","40k",NA
NA,"13","18","1316","2","B37 x Oh43 WT","","CMI23FGH-065.49","CMI23FGH-066.16","40k",NA
NA,"13","19","1317","2","B37 x Oh43 WT","","CMI23FGH-065.49","CMI23FGH-066.16","40k",NA
NA,"13","20","1318","2","B37 x Oh43 WT","","CMI23FGH-066.16","CMI23FGH-065.16","40k",NA
NA,"13","21","1319","5","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
NA,"13","22","1320","5","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
NA,"13","23","1321","5","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
NA,"13","24","1322","5","B37 x Mo17 pip1;5","68.21 x 70.10 & 68.29 x 70.9","CMI23FGH-068.21 & CMI23FGH-068.29","CMI23FGH-070.10 & CMI23FGH-070.09","39k",NA
NA,"13","25","1323","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
